"domain","schemeUsed","ok","statusCode","finalUrl","contentType","rawLength","title","is200","isBlank","isPlaceholder","looksGood","reasons","errorType","errorMessage"
"amargraves.org","https","True","200","https://amargraves.org/","text/html; charset=UTF-8","182083","Home | Amargraves Collective","True","False","False","True","","",""
"ambofoundation.org","https","True","200","https://ambofoundation.org/","text/html; charset=UTF-8","240600","Home | Ambo Foundation","True","False","False","True","","",""
"amplifiedaid.org","https","True","200","https://amplifiedaid.org/","text/html; charset=UTF-8","276462","Amplified Aid | Amplified Aid","True","False","False","True","","",""
"avengedfastpitch.org","https","True","200","https://avengedfastpitch.org/","text/html; charset=UTF-8","5599","","True","False","False","True","","",""
"bowiesblessings.org","https","True","200","https://bowiesblessings.org/","text/html","78799","Bowie&#39;s Blessings Website","True","False","False","True","","",""
"browncanyonranch.org","https","True","200","https://browncanyonranch.org/","text/html; charset=UTF-8","150176","Home | Friends Of The Brown Canyon Ranch","True","False","False","True","","",""
"coronadonationalforestheritagesociety.org","https","True","200","https://coronadonationalforestheritagesociety.org/","text/html; charset=UTF-8","175294","Home | Coronado National Forest Heritage Society","True","False","False","True","","",""
"cucu-il.org","https","True","200","https://cucu-il.org/","text/html; charset=UTF-8","162095","Co-ops United of Champaign Urbana","True","False","False","True","","",""
"cvrs-us.org","https","True","200","https://cvrs-us.org/","text/html; charset=UTF-8","158288","Home | Construction Veterans Reducing Suicide | Suicide Prevention Information and Training","True","False","False","True","","",""
"dropletsoflove.org","https","True","200","https://dropletsoflove.org/","text/html; charset=UTF-8","308942","Home | Droplets of Love","True","False","False","True","","",""
"educationandempowerment.org","https","True","200","https://educationandempowerment.org/","text/html; charset=UTF-8","49654","Who We Are | Education &amp; Empowerment","True","False","False","True","","",""
"emc-professional.org","https","True","200","https://emc-professional.com/","text/html; charset=UTF-8","541317","Home | EMC Professional","True","False","False","True","","",""
"empowerconnectfoundation.org","https","True","200","https://empowerconnectfoundation.org/","text/html; charset=UTF-8","171434","Home | Empower Connect Foundation","True","False","False","True","","",""
"exceptionalridersprogram.org","https","True","200","https://exceptionalridersprogram.org/","text/html; charset=UTF-8","217413","Home | Exceptional Horseback Riders","True","False","False","True","","",""
"facinggiantsnc.org","https","True","200","https://facinggiantsnc.org/","text/html; charset=UTF-8","228686","| Facing Giants","True","False","False","True","","",""
