zone,apex_a_ips,apex_a_ttls,apex_a_proxied,apex_aaaa_ips,apex_aaaa_ttls,apex_aaaa_proxied,www_cname_target,www_cname_ttl,www_cname_proxied,other_a_count,other_aaaa_count,other_cname_count
3dmc2.org,184.182.219.182,1,true,,,,3dmc2.org,1,true,0,0,0
alltypetowing.com,204.44.192.77,1,true,,,,,,,1,0,0
apollonianfp.org,153.92.213.212,1,true,,,,,,,0,0,0
aprilhansen.com,204.44.192.77,1,true,,,,aprilhansen.com,1,true,0,0,0
armstrongacesbaseball.org,204.44.192.77,1,false,,,,armstrongacesbaseball.org,1,true,0,0,0
bboc4vets.org,52.184.222.116,1,true,,,,,,,0,0,0
bintobetter.org,185.199.108.153;185.199.111.153;185.199.110.153;185.199.109.153,1;1;1;1,false;false;false;false,,,,freeforcharity.github.io,1,false,0,0,0
bringingpeople2people.org,,,,,,,,,,0,0,0
browncanyonranch.org,204.44.192.77,1,true,,,,browncanyonranch.org,1,true,8,0,4
bucktownbullsbaseball.org,204.44.192.77,1,true,,,,bucktownbullsbaseball.org,1,true,1,0,5
bulldogztowing.com,204.44.192.77,1,true,,,,,,,2,0,0
canadatokeywestcoastalrun.com,,,,,,,canadatokeywestcoastalrun.org,1,true,0,0,0
canadatokeywestcoastalrun.org,153.92.213.212,1,true,,,,,,,0,0,0
cochiserobotics.org,52.184.222.116,1,true,,,,cochiserobotics.org,1,true,0,0,6
coronadonationalforestheritagesociety.org,204.44.192.77,1,true,,,,coronadonationalforestheritagesociety.org,1,true,0,0,5
cvrs-us.org,192.64.86.202,1,true,,,,,,,0,0,0
dropletsoflove.org,192.64.86.202,1,true,,,,,,,0,0,0
educationandempowerment.org,153.92.213.212,1,true,,,,educationandempowerment.org,1,true,2,0,6
emc-professional.com,192.64.86.202,1,true,,,,,,,0,0,0
emc-professional.org,,,,,,,,,,0,0,0
exceptionalridersprogram.com,185.199.220.110,1,true,,,,exceptionalridersprogram.com,1,true,7,0,1
exceptionalridersprogram.org,192.64.86.202,1,true,,,,,,,0,0,0
facinggiantsnc.org,153.92.213.212,1,true,,,,facinggiantsnc.org,1,true,1,0,0
falloutshelterecovillage.org,204.44.192.77,1,false,,,,,,,0,0,0
fencingtogether.org,185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,1;1;1;1,false;false;false;false,,,,,,,4,0,0
ffcadmin.org,185.199.108.153;185.199.109.153;185.199.110.153;185.199.111.153,1;1;1;1,true;true;true;true,,,,ffcadmin.org,1,true,0,0,6
ffcdomains.com,,,,,,,ffchostingmultisite.tempurl.host,1,true,0,0,5
ffcdomains.org,,,,,,,freeforcharity.org,1,true,0,0,5
ffchosting.com,,,,,,,ffchosting.com,1,true,0,0,7
ffchostingmultisite.org,,,,,,,ffchostingmultisite.org,1,true,0,0,6
ffchosting.org,,,,,,,freeforcharity.org,1,true,0,0,3
